"Fruit	"
"Baby Carrots	"
"Cucumbers	"
Broccoli (fresh)
"Lettuce	"
"Bagels	"
"English Muffins	"
"Bread	"
"HB Buns	"
"HD Buns	"
"Hoagies	"
"Raisins	"
"Dried Cranberries	"
"Tortilla Chips	"
"Clubhouse Crackers	"
"Penguins	"
"Sandwhich Crackers	"
"Animal Crackers	"
"Vanilla Wafers	"
"Cookies	"
"Graham Crackers	"
"Saltines	"
"Ritz Crackers	"
"Salsa (Mild)	"
"Salsa (Medium)	"
"Hummus	"
"Cheese Sticks	"
"String Cheese	"
"Cheese Blocks	"
"Sandwhich Cheese	"
"American Cheese	"
"Sandwhich Meat	"
Biscuits (canned)
"Flour	"
"Sugar	"
"Brown Sugar	"
"Powdered Sugar	"
"Baking Powder	"
"Yeast	"
"Baking Soda	"
Sweetened Condensed Milk
Evaporated Milk
"Pudding (Chocolate)	"
"Pudding (Vanilla)	"
"Gelatin	"
"Cake Mix	"
"Brownie Mix	"
"Cornbread	"
"Bisquick	"
Olive Oil
Canola Oil
"Spices	textbox"
"Cocoa Powder	"
"Salt	"
"Pepper	"
Worchestershire Sauce
Steak Sauce
BBQ Sauce
Ketchup
Mustard (yellow)
Mustard (Spicy Brown)
Mayo
Miracle Whip
Salad Dressing
Olives
Ranch Mix
Italian Dressing Mix
Cheerios
Chex
Mini Wheats
"Syrup	"
"Potatoes (Russet)	"
"Potatoes (Red)	"
"Potatoes (Sweet)	"
"Celery	"
"Green Peppers	"
"Colored Peppers	"
"Diapers	"
"Wipes	"
"Napkins	"
"TP	"
"Paper Towels	"
"Aluminum Foil	"
Ziploc (sandwhich)
Ziploc (freezer)
Ziploc (gallon)
"Applesauce	"
"Fruit (Canned)	"
"Corn (Canned)	"
"Cream of Chicken Soup	"
"Chicken Broth	"
"Tomato Soup	"
"Black Beans	"
"Pinto Beans	"
"Chili Beans	"
"Red Beans	"
Baked Beans
"Tomato Paste (6 oz)	"
Tomato Sauce (8 oz)
"Crushed Tomatoes	(28 oz)"
Diced Tomatoes (14.5 oz)
Mushrooms
"Rotel	"
"Taco Seasoning	"
"Refried Beans	"
"Tortillas	"
Suddenly Salad
"Pizza Crust	"
"Pepperoni	"
Mac and Cheese
"Parmesan Cheese	"
"Spahetti	"
"Fettucine	"
"Penne	"
"Rotini	"
"Linguine	"
"Pesto	"
"Marinara Sauce	"
"Pasta Sauce	"
Sausage (Italian lb.)
Fish (lb.)
"Beef (Ground, lb.)	"
"Chicken Breasts (lb)	"
Bacon
Sausage (bulk)
Hot Dogs
Cream Cheese
Mozz. (shredded)
Cheddar (shredded)
Pizza Cheese (shredded)
Stick Butter
Tub Butter
Yogurt
Sour Cream
Milk
Eggs
Chicken Nuggets
Fish Sticks
Broccoli (Frozen)
Frozen Vegetables
Frozen Pizza
Meatballs
Ice Cream
